NCBI_SRA_Run_ID	GOLD_Project_ID	Type	Assembly_Method	Collection_Date	Instrument	JGI_Contigs_Link	JGI_Project_ID	JGI_Sample_ID	JGI_Sequencing_Project_ID	JGI_Sequencing_Project_Name	Latitude_and_Longitude	NCBI_BioProject_Accession	NCBI_BioSample_Accession	NCBI_Project_ID	NCBI_SRA_Sample_ID	Sample_Name	Sequencing_Run_Mode	Total_Bases	Volume_Seawater_Filtered	env_biome	env_feature	env_material	geo_loc_name	lat	lon
SRR8360457	Gp0266604	Metagenome	SPAdes assembler 3.11.1	2016-10-13	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/15DmetaG_FD/15DmetaG_FD.download.html	1174530	166749	1174693	15D metaG	36.835 N; 121.901 W	PRJNA502411	SAMN10351355	502411	SRP174080	15D	2x151	7691258084	100	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8360548	Gp0266605	Metagenome	SPAdes assembler 3.11.1	2016-10-17	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/16DmetaG_FD/16DmetaG_FD.download.html	1174532	166750	1174694	16D metaG	36.835 N; 121.901 W	PRJNA502412	SAMN10350897	502412	SRP174089	16D	2x151	9245335890	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8360544	Gp0266607	Metagenome	SPAdes assembler 3.11.1	2016-10-20	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/18DmetaG_FD/18DmetaG_FD.download.html	1174536	166752	1174696	18D metaG	36.835 N; 121.901 W	PRJNA502413	SAMN10351120	502413	SRP174085	18D	2x151	8004892332	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7592489	Gp0266608	Metagenome	SPAdes assembler 3.11.1	2016-09-27	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/20DmetaG_FD/20DmetaG_FD.download.html	1174538	166753	1174697	20D metaG	36.835 N; 121.901 W	PRJNA467726	SAMN09202066	467726	SRP155254	20D	2x151	13033898710	73.5	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8360545	Gp0266609	Metagenome	SPAdes assembler 3.11.1	2016-10-12	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/22DmetaG_FD/22DmetaG_FD.download.html	1174542	166755	1174699	22D metaG	36.835 N; 121.901 W	PRJNA502414	SAMN10350896	502414	SRP174086	22D	2x151	7011736038	100	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7633009	Gp0266610	Metagenome	SPAdes assembler 3.11.1	2016-10-06	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/23DmetaG_FD/23DmetaG_FD.download.html	1174544	166756	1174700	23D metaG	36.835 N; 121.901 W	PRJNA467727	SAMN09201453	467727	SRP155978	23D	2x151	7254602022	150	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361103	Gp0266611	Metagenome	SPAdes assembler 3.11.1	2016-11-06	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/25DmetaG_FD/25DmetaG_FD.download.html	1174548	166758	1174702	25D metaG	36.835 N; 121.901 W	PRJNA502415	SAMN10351090	502415	SRP174108	25D	2x151	7480494700	575	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7592711	Gp0266612	Metagenome	SPAdes assembler 3.11.1	2016-10-01	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/26DmetaG_FD/26DmetaG_FD.download.html	1174550	166759	1174703	26D metaG	36.835 N; 121.901 W	PRJNA467728	SAMN09201452	467728	SRP155258	26D	2x151	7294852280	125	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7592826	Gp0266613	Metagenome	SPAdes assembler 3.11.1	2016-10-04	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/28DmetaG_FD/28DmetaG_FD.download.html	1174554	166761	1174705	28D metaG	36.835 N; 121.901 W	PRJNA467729	SAMN09201851	467729	SRP155261	28D	2x151	4854715534	149.5	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7593831	Gp0266614	Metagenome	SPAdes assembler 3.11.1	2016-10-10	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/29DmetaG_FD/29DmetaG_FD.download.html	1174556	166762	1174706	29D metaG	36.835 N; 121.901 W	PRJNA467730	SAMN09202067	467730	SRP155264	29D	2x151	5913326704	100	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361099	Gp0266615	Metagenome	SPAdes assembler 3.11.1	2016-10-05	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/30DmetaG_FD/30DmetaG_FD.download.html	1174558	166763	1174707	30D metaG	36.835 N; 121.901 W	PRJNA502416	SAMN10350895	502416	SRP174104	30D	2x151	6613959758	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7593934	Gp0266616	Metagenome	SPAdes assembler 3.11.1	2016-10-26	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/31DmetaG_FD/31DmetaG_FD.download.html	1174560	166764	1174708	31D metaG	36.835 N; 121.901 W	PRJNA467731	SAMN09201850	467731	SRP155266	31D	2x151	6324142740	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361102	Gp0266617	Metagenome	SPAdes assembler 3.11.1	2016-09-28	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/33DmetaG_FD/33DmetaG_FD.download.html	1174564	166766	1174710	33D metaG	36.835 N; 121.901 W	PRJNA502417	SAMN10351036	502417	SRP174107	33D	2x151	8943864994	75	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7594085	Gp0266618	Metagenome	SPAdes assembler 3.11.1	2016-09-30	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/34DmetaG_FD/34DmetaG_FD.download.html	1174566	166767	1174711	34D metaG	36.835 N; 121.901 W	PRJNA467732	SAMN09201849	467732	SRP155270	34D	2x151	5589222116	94	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7594165	Gp0266619	Metagenome	SPAdes assembler 3.11.1	2016-11-14	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/36D_rmetaG_FD/36D_rmetaG_FD.download.html	1174570	166769	1174713	36D metaG	36.835 N; 121.901 W	PRJNA467733	SAMN09202068	467733	SRP155275	36D	2x151	9178069618	825	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7594164	Gp0266620	Metagenome	SPAdes assembler 3.11.1	2016-10-25	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/37DmetaG_FD/37DmetaG_FD.download.html	1174572	166770	1174714	37D metaG	36.835 N; 121.901 W	PRJNA467734	SAMN09202069	467734	SRP155273	37D	2x151	5904284220	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7594967	Gp0266621	Metagenome	SPAdes assembler 3.11.1	2016-09-28	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/39DmetaG_FD/39DmetaG_FD.download.html	1174576	166772	1174716	39D metaG	36.835 N; 121.901 W	PRJNA467735	SAMN09201451	467735	SRP155282	39D	2x151	9772488366	75	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7595425	Gp0266622	Metagenome	SPAdes assembler 3.11.1	2016-11-04	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/40DmetaG_FD/40DmetaG_FD.download.html	1174578	166773	1174717	40D metaG	36.835 N; 121.901 W	PRJNA467736	SAMN09201848	467736	SRP155287	40D	2x151	8607890598	400	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7599849	Gp0266623	Metagenome	SPAdes assembler 3.11.1	2016-11-13	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/41DmetaG_FD/41DmetaG_FD.download.html	1174580	166774	1174718	41D metaG	36.835 N; 121.901 W	PRJNA467737	SAMN09201681	467737	SRP155292	41D	2x151	7636600916	350	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361100	Gp0266624	Metagenome	SPAdes assembler 3.11.1	2016-09-27	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/42DmetaG_FD/42DmetaG_FD.download.html	1174582	166775	1174719	42D metaG	36.835 N; 121.901 W	PRJNA502418	SAMN10350894	502418	SRP174105	42D	2x151	9179809138	75	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7600393	Gp0266625	Metagenome	SPAdes assembler 3.11.1	2016-09-30	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/44DmetaG_FD/44DmetaG_FD.download.html	1174586	166777	1174721	44D metaG	36.835 N; 121.901 W	PRJNA467738	SAMN09201847	467738	SRP155297	44D	2x151	8361881096	94.1	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7600394	Gp0266626	Metagenome	SPAdes assembler 3.11.1	2016-11-03	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/45DmetaG_FD/45DmetaG_FD.download.html	1174588	166778	1174722	45D metaG	36.835 N; 121.901 W	PRJNA467739	SAMN09201682	467739	SRP155298	45D	2x151	6945518612	300	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7600454	Gp0266627	Metagenome	SPAdes assembler 3.11.1	2016-10-25	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/47DmetaG_FD/47DmetaG_FD.download.html	1174592	166780	1174724	47D metaG	36.835 N; 121.901 W	PRJNA467740	SAMN09201846	467740	SRP155307	47D	2x151	7252908708	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7600453	Gp0266628	Metagenome	SPAdes assembler 3.11.1	2016-10-31	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/48D_rmetaG_FD/48D_rmetaG_FD.download.html	1174594	166781	1174725	48D metaG	36.835 N; 121.901 W	PRJNA467741	SAMN09201450	467741	SRP155306	48D	2x151	7977827394	300	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361349	Gp0266629	Metagenome	SPAdes assembler 3.11.1	2016-10-18	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/50DmetaG_FD/50DmetaG_FD.download.html	1174598	166783	1174727	50D metaG	36.835 N; 121.901 W	PRJNA502419	SAMN10351174	502419	SRP174111	50D	2x151	7899520304	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361350	Gp0266630	Metagenome	SPAdes assembler 3.11.1	2016-11-13	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/51DmetaG_FD/51DmetaG_FD.download.html	1174600	166784	1174728	51D metaG	36.835 N; 121.901 W	PRJNA502420	SAMN10351052	502420	SRP174112	51D	2x151	6003670004	400	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7600455	Gp0266631	Metagenome	SPAdes assembler 3.11.1	2016-10-17	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/52DmetaG_FD/52DmetaG_FD.download.html	1174602	166785	1174729	52D metaG	36.835 N; 121.901 W	PRJNA467742	SAMN09201449	467742	SRP155308	52D	2x151	5968743100	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361352	Gp0266632	Metagenome	SPAdes assembler 3.11.1	2016-09-29	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/53DmetaG_FD/53DmetaG_FD.download.html	1174604	166786	1174730	53D metaG	36.835 N; 121.901 W	PRJNA502421	SAMN10351091	502421	SRP174114	53D	2x151	10237618498	125	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361371	Gp0266633	Metagenome	SPAdes assembler 3.11.1	2016-11-08	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/55DmetaG_FD/55DmetaG_FD.download.html	1174608	166788	1174732	55D metaG	36.835 N; 121.901 W	PRJNA502422	SAMN10351092	502422	SRP174115	55D	2x151	9803128682	175	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7601261	Gp0266634	Metagenome	SPAdes assembler 3.11.1	2016-11-09	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/56DmetaG_FD/56DmetaG_FD.download.html	1174610	166789	1174733	56D metaG	36.835 N; 121.901 W	PRJNA467743	SAMN09201683	467743	SRP155320	56D	2x151	4883065180	174.4	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361526	Gp0266635	Metagenome	SPAdes assembler 3.11.1	2016-11-06	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/57DmetaG_FD/57DmetaG_FD.download.html	1174612	166790	1174734	57D metaG	36.835 N; 121.901 W	PRJNA502423	SAMN10351051	502423	SRP174120	57D	2x151	8240164526	550	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361527	Gp0266636	Metagenome	SPAdes assembler 3.11.1	2016-11-04	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/58D_rmetaG_FD/58D_rmetaG_FD.download.html	1174614	166791	1174735	58D metaG	36.835 N; 121.901 W	PRJNA502424	SAMN10351093	502424	SRP174121	58D	2x151	10007475472	400	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7601262	Gp0266637	Metagenome	SPAdes assembler 3.11.1	2016-10-21	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/59DmetaG_FD/59DmetaG_FD.download.html	1174616	166792	1174736	59D metaG	36.835 N; 121.901 W	PRJNA467744	SAMN09201444	467744	SRP155321	59D	2x151	8505201538	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361517	Gp0266638	Metagenome	SPAdes assembler 3.11.1	2016-11-12	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/60DmetaG_FD/60DmetaG_FD.download.html	1174618	166793	1174737	60D metaG	36.835 N; 121.901 W	PRJNA502425	SAMN10351050	502425	SRP174119	60D	2x151	7531245498	475	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8361516	Gp0266639	Metagenome	SPAdes assembler 3.11.1	2016-10-31	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/61DmetaG_FD/61DmetaG_FD.download.html	1174620	166794	1174738	61D metaG	36.835 N; 121.901 W	PRJNA502426	SAMN10351049	502426	SRP174118	61D	2x151	8327099756	290	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7601383	Gp0266640	Metagenome	SPAdes assembler 3.11.1	2016-10-28	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/62DmetaG_FD/62DmetaG_FD.download.html	1174622	166795	1174739	62D metaG	36.835 N; 121.901 W	PRJNA467745	SAMN09201274	467745	SRP155334	62D	2x151	7880205894	250	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7601694	Gp0266641	Metagenome	SPAdes assembler 3.11.1	2016-10-24	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/63DmetaG_FD/63DmetaG_FD.download.html	1174624	166796	1174740	63D metaG	36.835 N; 121.901 W	PRJNA467746	SAMN09202070	467746	SRP155339	63D	2x151	8133342596	250	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7601699	Gp0266642	Metagenome	SPAdes assembler 3.11.1	2016-10-05	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/64DmetaG_FD/64DmetaG_FD.download.html	1174626	166797	1174741	64D metaG	36.835 N; 121.901 W	PRJNA467747	SAMN09202071	467747	SRP155340	64D	2x151	8079854168	199.2	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7607755	Gp0266643	Metagenome	SPAdes assembler 3.11.1	2016-11-02	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/65DmetaG_FD/65DmetaG_FD.download.html	1174628	166798	1174742	65D metaG	36.835 N; 121.901 W	PRJNA467748	SAMN09201541	467748	SRP155355	65D	2x151	6290782310	400	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7607748	Gp0266644	Metagenome	SPAdes assembler 3.11.1	2016-10-03	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/66DmetaG_FD/66DmetaG_FD.download.html	1174630	166799	1174743	66D metaG	36.835 N; 121.901 W	PRJNA467749	SAMN09202072	467749	SRP155353	66D	2x151	4930952112	250	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7607757	Gp0266645	Metagenome	SPAdes assembler 3.11.1	2016-11-15	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/67DmetaG_FD/67DmetaG_FD.download.html	1174632	166800	1174744	67D metaG	36.835 N; 121.901 W	PRJNA467750	SAMN09201540	467750	SRP155356	67D	2x151	6280811478	1000	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7608008	Gp0266646	Metagenome	SPAdes assembler 3.11.1	2016-11-07	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/68DmetaG_FD/68DmetaG_FD.download.html	1174634	166801	1174745	68D metaG	36.835 N; 121.901 W	PRJNA467751	SAMN09202073	467751	SRP155364	68D	2x151	5858217744	575	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7608010	Gp0266647	Metagenome	SPAdes assembler 3.11.1	2016-10-07	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/70DmetaG_FD/70DmetaG_FD.download.html	1174636	166802	1174746	70D metaG	36.835 N; 121.901 W	PRJNA467752	SAMN09201539	467752	SRP155365	70D	2x151	6470832294	207.5	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7608017	Gp0266648	Metagenome	SPAdes assembler 3.11.1	2016-10-18	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/71DmetaG_FD/71DmetaG_FD.download.html	1174638	166803	1174747	71D metaG	36.835 N; 121.901 W	PRJNA467753	SAMN09201443	467753	SRP155366	71D	2x151	8687854460	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7608223	Gp0266649	Metagenome	SPAdes assembler 3.11.1	2016-11-16	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/73DmetaG_FD/73DmetaG_FD.download.html	1174640	166804	1174748	73D metaG	36.835 N; 121.901 W	PRJNA467754	SAMN09202074	467754	SRP155376	73D	2x151	6269792102	1000	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7608232	Gp0266650	Metagenome	SPAdes assembler 3.11.1	2016-11-11	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/74DmetaG_FD/74DmetaG_FD.download.html	1174642	166805	1174749	74D metaG	36.835 N; 121.901 W	PRJNA467755	SAMN09201442	467755	SRP155377	74D	2x151	7965995034	425	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7608423	Gp0266651	Metagenome	SPAdes assembler 3.11.1	2016-11-14	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/75DmetaG_FD/75DmetaG_FD.download.html	1174644	166806	1174750	75D metaG	36.835 N; 121.901 W	PRJNA467756	SAMN09201538	467756	SRP155385	75D	2x151	5308517646	825	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7608731	Gp0266652	Metagenome	SPAdes assembler 3.11.1	2016-11-10	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/76DmetaG_FD/76DmetaG_FD.download.html	1174646	166807	1174751	76D metaG	36.835 N; 121.901 W	PRJNA467757	SAMN09201302	467757	SRP155391	76D	2x151	7179999868	350	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7608832	Gp0266653	Metagenome	SPAdes assembler 3.11.1	2016-10-07	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/77DmetaG_FD/77DmetaG_FD.download.html	1174648	166808	1174752	77D metaG	36.835 N; 121.901 W	PRJNA467758	SAMN09201684	467758	SRP155398	77D	2x151	6424234902	201.5	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7608833	Gp0266654	Metagenome	SPAdes assembler 3.11.1	2016-09-26	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/78DmetaG_FD/78DmetaG_FD.download.html	1174650	166809	1174753	78D metaG	36.835 N; 121.901 W	PRJNA467759	SAMN09201441	467759	SRP155399	78D	2x151	7805644812	92.5	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7609143	Gp0266655	Metagenome	SPAdes assembler 3.11.1	2016-11-07	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/79DmetaG_FD/79DmetaG_FD.download.html	1174652	166810	1174754	79D metaG	36.835 N; 121.901 W	PRJNA467760	SAMN09201685	467760	SRP155406	79D	2x151	5990380192	550	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7609166	Gp0266656	Metagenome	SPAdes assembler 3.11.1	2016-10-11	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/80DmetaG_FD/80DmetaG_FD.download.html	1174654	166811	1174755	80D metaG	36.835 N; 121.901 W	PRJNA467761	SAMN09201537	467761	SRP155408	80D	2x151	6844779566	100	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7609163	Gp0266657	Metagenome	SPAdes assembler 3.11.1	2016-10-11	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/81DmetaG_FD/81DmetaG_FD.download.html	1174656	166812	1174756	81D metaG	36.835 N; 121.901 W	PRJNA467762	SAMN09202075	467762	SRP155407	81D	2x151	8013377022	100	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7609344	Gp0266658	Metagenome	SPAdes assembler 3.11.1	2016-10-10	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/82DmetaG_FD/82DmetaG_FD.download.html	1174658	166813	1174757	82D metaG	36.835 N; 121.901 W	PRJNA467763	SAMN09201536	467763	SRP155413	82D	2x151	5810730358	100	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7609361	Gp0266659	Metagenome	SPAdes assembler 3.11.1	2016-10-11	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/84DmetaG_FD/84DmetaG_FD.download.html	1174660	166814	1174758	84D metaG	36.835 N; 121.901 W	PRJNA467764	SAMN09201535	467764	SRP155419	84D	2x151	7118809232	100	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7609362	Gp0266660	Metagenome	SPAdes assembler 3.11.1	2016-10-13	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/85DmetaG_FD/85DmetaG_FD.download.html	1174662	166815	1174759	85D metaG	36.835 N; 121.901 W	PRJNA467765	SAMN09201686	467765	SRP155420	85D	2x151	7178048646	100	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
